,carrier_tracking_number,Tracking ID,sk_claim_report_date,Country,Carrier,aviailable_claim_amount_euro,claimtype,claim_category,Category,Rejection,carrier_name,ZIP,city,TS_LAST_COT_EVENT,unplanned_return_flag,reconditioned_claim_flag,value_segment
6660,,996011507323099698 ,,CH,Post CH,,,,Shipment loss,Shipment delivered according to contract. No objection basis.,,,,,,,
6671,,996011507322991616 ,,CH,Post CH,,,,Shipment loss,Shipment delivered according to contract. No objection basis.,,,,,,,
6673,,996007791546350572 ,,CH,Post CH,,,,Shipment loss,Safe place delivery,,,,,,,
6675,,996013537313041496 ,,CH,Post CH,,,,Shipment loss,Safe place delivery,,,,,,,
6676,,996013537313431483 ,,CH,Post CH,,,,Shipment loss,Safe place delivery,,,,,,,
6746,,996013622402127440 ,,CH,Post CH,,,,Shipment loss,Safe place delivery,,,,,,,
6749,,996013537313343477 ,,CH,Post CH,,,,Shipment loss,Safe place delivery,,,,,,,
6756,,996007791546421153 ,,CH,Post CH,,,,Shipment loss,Safe place delivery,,,,,,,
6757,,996011507323002547 ,,CH,Post CH,,,,Shipment loss,Shipment delivered according to contract. No objection basis.,,,,,,,
6804,,996009745964951301,,CH,Post CH,,,,Shipment loss,Shipment delivered according to contract. No objection basis.,,,,,,,
6806,,996008376523889708 ,,CH,Post CH,,,,Shipment loss,Safe place delivery,,,,,,,
6810,,996013537313343570 ,,CH,Post CH,,,,Shipment loss,Shipment delivered according to contract. No objection basis.,,,,,,,
6841,,996014591700448639,,CH,Post CH,,,,Shipment loss,Other,,,,,,,
6872,,996009745964960101,,CH,Post CH,,,,Shipment loss,Safe place delivery,,,,,,,
6898,,996007791546044767 ,,CH,Post CH,,,,Shipment loss,Safe place delivery,,,,,,,
6900,,996008376523948765 ,,CH,Post CH,,,,Shipment loss,Shipment delivered according to contract. No objection basis.,,,,,,,
6914,,996013622402154175,,CH,Post CH,,,,Shipment loss,Safe place delivery,,,,,,,
